,Arsenal,Aston Villa,Bournemouth,Brentford,Brighton,Burnley,Chelsea,Crystal Palace,Everton,Fulham,Leeds,Liverpool,Man City,Man United,Newcastle,Nott'm Forest,Sunderland,Tottenham,West Ham,Wolves
2026-01-29,10955,8779,1768,1680,1813,1989,10736,3235,2638,1959,2357,8856,7748,11642,3808,4431,1787,6850,4059,2687
2026-01-30,8927,6454,1774,1479,1789,1552,7753,3308,2223,2913,2613,7219,6878,10726,4038,5277,1724,5427,3612,2329
2026-01-31,13049,4930,3451,1826,3222,1730,14923,3294,3804,2817,7202,10956,7316,11274,5933,3811,2265,5308,10132,3765
2026-02-01,12926,7594,3038,4824,2435,1879,11602,3970,3320,7702,3307,10463,12342,22914,3868,4958,4343,12537,6786,3914
2026-02-02,11839,4635,2354,2974,2532,4194,12095,5890,3567,3539,2993,9806,8695,18055,3745,4193,8204,7600,5690,4516
2026-02-03,18809,4069,2215,2220,2298,2533,16574,5555,3758,2286,2749,9442,7892,13977,4296,3576,5292,6447,5424,5498
2026-02-04,16125,3361,1776,1629,1989,1505,10389,3086,2662,1822,2355,7406,10858,12219,5849,2713,2866,5033,3519,3759
2026-02-05,10412,2965,1720,1621,1955,1327,8025,2642,2435,1748,2240,6679,8827,10717,3661,2588,2793,4434,3204,3023
2026-02-06,8419,2983,1695,1642,1811,1381,6721,2447,2384,1580,5690,6324,6243,11081,2655,5629,2927,4423,3414,3284
2026-02-07,14273,4574,3584,6879,2144,2577,9261,2931,3918,2585,4246,6646,6986,25046,4937,4070,5645,11059,5575,5417
2026-02-08,12637,3840,2815,4351,6133,1888,8029,6141,3649,1890,2887,12405,14630,18517,3706,2775,3000,6877,4697,3696
2026-02-09,9251,2999,1929,2715,2414,1420,6579,2741,2762,1551,2634,7789,8301,14155,3057,2289,2088,5203,3842,2520
2026-02-10,8727,3349,2966,2714,2073,1524,9172,2676,3682,1656,4645,6965,6972,19722,3989,2736,2327,8845,11942,2825
2026-02-11,8670,4377,3031,5899,4064,2185,7406,3521,3348,2463,3530,8053,8292,14534,3453,4762,6599,27584,6087,3429
2026-02-12,11680,4023,2443,12327,3056,2317,7155,2931,3142,1912,2725,7234,7855,13089,2727,29450,3049,18820,4692,5793
2026-02-13,8731,3086,1715,5816,2163,1495,9047,2861,2341,1430,2212,5984,6623,10353,2635,8380,2172,14751,3235,3167
2026-02-14,6921,6029,1842,2809,4488,2376,7232,2445,2347,1358,2339,7736,7216,9179,5072,5499,2072,10822,5560,2505
